""2017-12-07 19:32:33 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2017-12-07 19:32:33 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
""2017-12-07 19:32:33 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2017-12-07 19:32:33 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
""2017-12-07 19:32:33 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2017-12-07 19:32:33 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.SQLServerDialect
""2017-12-07 19:32:33 [restartedMain] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
""2017-12-07 19:32:35 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2017-12-07 19:32:37 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
""2017-12-07 19:32:37 [restartedMain] INFO  c.c.j.controller.JewelryController - Enable Caching
""2017-12-07 19:32:37 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2017-12-07 19:32:37 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-12-07 19:32:37 [restartedMain] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2017-12-07 19:32:37 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2017-12-07 19:32:37 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 3 custom documentation plugin(s)
""2017-12-07 19:32:37 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2017-12-07 19:32:37 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2017-12-07 19:32:37 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2017-12-07 19:32:37 [restartedMain] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: createUserUsingPOST_1
""2017-12-07 19:32:38 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8081 (http)
""2017-12-07 19:32:38 [restartedMain] INFO  com.concretepage.MyApplication - Started MyApplication in 12.575 seconds (JVM running for 13.487)
""2017-12-07 19:33:33 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-12-07 19:33:33 [http-nio-8081-exec-1] INFO  com.concretepage.MyApplication - Sending Email to string
""2017-12-07 19:35:01 [http-nio-8081-exec-6] INFO  com.concretepage.MyApplication - Sending Email to string
""2017-12-07 19:35:01 [http-nio-8081-exec-6] ERROR com.concretepage.MyApplication - Failed to send Email to string
""2017-12-07 19:35:18 [Thread-32] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@36ec1539: startup date [Thu Dec 07 19:32:26 MSK 2017]; root of context hierarchy
""2017-12-07 19:35:18 [Thread-32] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2017-12-07 19:35:18 [Thread-32] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2017-12-07 19:35:18 [Thread-32] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2017-12-07 19:35:19 [restartedMain] INFO  com.concretepage.MyApplication - Starting MyApplication on DESKTOP-BHJH16O with PID 11120 (started by Занятия in C:\Users\Занятия\Documents\GitHub\RestService)
""2017-12-07 19:35:19 [restartedMain] INFO  com.concretepage.MyApplication - No active profile set, falling back to default profiles: default
""2017-12-07 19:35:19 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4334c400: startup date [Thu Dec 07 19:35:19 MSK 2017]; root of context hierarchy
""2017-12-07 19:35:20 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$48556e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-12-07 19:35:20 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$4d978cfe] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-12-07 19:35:20 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8081 (http)
""2017-12-07 19:35:20 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-12-07 19:35:20 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.20
""2017-12-07 19:35:20 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-12-07 19:35:20 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-12-07 19:35:20 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
